,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
136,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",9,15,92,8,0.6,2020
137,"PHYSICS, CONDENSED MATTER",3,5,75,25,0.6,2020
138,"PHYSICS, FLUIDS & PLASMAS",1,1,100,0,1.0,2020
139,"PHYSICS, MATHEMATICAL",7,7,80,20,1.0,2020
140,"PHYSICS, MULTIDISCIPLINARY",7,6,100,0,1.2,2020
141,"PHYSICS, PARTICLES & FIELDS",14,22,95,5,0.6,2020
142,PHYSIOLOGY,5,11,55,45,0.5,2020
143,PLANT SCIENCES,21,47,63,37,0.4,2020
144,POLYMER SCIENCE,16,42,74,26,0.4,2020
145,PSYCHIATRY,6,11,50,50,0.5,2020
146,PSYCHOLOGY,21,34,66,34,0.6,2020
147,"PSYCHOLOGY, APPLIED",5,5,80,20,1.0,2020
148,"PSYCHOLOGY, BIOLOGICAL",1,1,100,0,1.0,2020
149,"PSYCHOLOGY, CLINICAL",3,7,50,50,0.4,2020
150,"PSYCHOLOGY, DEVELOPMENTAL",1,1,100,0,1.0,2020
151,"PSYCHOLOGY, EDUCATIONAL",3,8,75,25,0.4,2020
152,"PSYCHOLOGY, EXPERIMENTAL",2,3,67,33,0.7,2020
153,"PSYCHOLOGY, MULTIDISCIPLINARY",4,11,50,50,0.4,2020
154,"PSYCHOLOGY, SOCIAL",4,3,67,33,1.3,2020
155,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",15,17,71,29,0.9,2020
156,QUANTUM SCIENCE & TECHNOLOGY,2,2,100,0,1.0,2020
157,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3,4,33,67,0.8,2020
158,REHABILITATION,2,2,100,0,1.0,2020
159,RELIGION,1,1,100,0,1.0,2020
160,REMOTE SENSING,1,1,100,0,1.0,2020
161,REPRODUCTIVE BIOLOGY,2,9,40,60,0.2,2020
162,RESPIRATORY SYSTEM,5,3,100,0,1.7,2020
163,RHEUMATOLOGY,2,11,33,67,0.2,2020
164,SOCIAL ISSUES,3,3,33,67,1.0,2020
165,"SOCIAL SCIENCES, INTERDISCIPLINARY",7,8,38,63,0.9,2020
166,"SOCIAL SCIENCES, MATHEMATICAL METHODS",2,1,100,0,2.0,2020
167,SOCIAL WORK,1,2,0,100,0.5,2020
168,SOCIOLOGY,1,1,100,0,1.0,2020
169,SOIL SCIENCE,5,12,92,8,0.4,2020
170,SPECTROSCOPY,2,9,56,44,0.2,2020
171,SPORT SCIENCES,13,5,100,0,2.6,2020
172,STATISTICS & PROBABILITY,6,10,100,0,0.6,2020
173,SURGERY,3,3,100,0,1.0,2020
174,TELECOMMUNICATIONS,4,13,92,8,0.3,2020
175,THERMODYNAMICS,3,8,100,0,0.4,2020
176,TOXICOLOGY,5,13,62,38,0.4,2020
177,TRANSPLANTATION,1,1,0,0,1.0,2020
178,TRANSPORTATION,2,4,100,0,0.5,2020
179,TRANSPORTATION SCIENCE & TECHNOLOGY,1,3,100,0,0.3,2020
180,VETERINARY SCIENCES,9,20,47,53,0.5,2020
181,WATER RESOURCES,20,39,70,30,0.5,2020
182,ZOOLOGY,7,9,63,38,0.8,2020
